Year,Age,Gender,Spending,Stay,Country_of_origin
2023,50,1,1712,21,United States
2023,37,0,464,11,United States
2023,33,0,1006,26,United States
2023,18,0,1665,6,United States
2023,31,0,725,23,United States
2023,43,0,1760,13,United States
2023,33,0,1454,24,United States
2023,30,0,1578,10,United States
2023,28,1,711,26,United States
2023,38,0,1269,10,United States
2023,44,0,863,25,United States
2023,33,0,1014,8,United States
2023,25,0,734,21,United States
2023,35,0,1427,6,United States
2023,39,1,1743,15,United States
2023,53,0,1195,18,United States
2023,23,0,649,21,United States
2023,20,1,574,10,United States
2023,30,0,870,20,United States
2023,18,0,996,12,United States
2023,29,0,665,11,United States
2023,53,0,548,28,United States
2023,30,0,1102,17,United States
2023,17,0,1544,10,United States
2023,30,1,1200,9,United States
2023,39,0,468,12,United States
2023,22,1,1242,13,United States
2023,17,0,591,14,United States
2023,56,0,1039,12,United States
2023,37,0,554,7,United States
2023,33,0,870,15,Australia
2023,31,1,568,26,Australia
2023,37,0,834,20,Australia
2023,29,1,857,15,Australia
2023,51,1,994,6,Australia
2023,35,0,1721,12,Australia
2023,33,0,505,14,Australia
2023,18,0,1484,25,Australia
2023,33,0,919,21,Australia
2023,39,0,496,16,Australia
2023,30,1,2011,10,Australia
2023,20,0,1986,25,Australia
2023,56,1,591,18,Australia
2023,36,0,1387,12,Australia
2023,28,0,1467,15,Australia
2023,42,1,1196,12,Australia
2023,17,0,712,25,Australia
2023,40,1,660,27,Australia
2023,44,0,1755,18,Australia
2023,40,1,867,23,Australia
2023,39,0,1749,16,Australia
2023,36,1,1537,23,Australia
2023,29,0,2015,16,Australia
2023,37,1,1937,17,Australia
2023,30,0,1978,9,Australia
2023,49,0,673,15,Australia
2023,19,1,1724,21,Australia
2023,29,0,1664,22,Australia
2023,27,0,1814,7,Australia
2023,18,0,1489,23,Australia
2023,33,0,750,6,Australia
2023,50,0,542,22,Australia
2023,29,0,929,21,Australia
2023,23,0,860,22,Australia
2023,29,1,539,11,Australia
2023,56,1,1255,28,Australia
2023,47,0,1976,21,Australia
2023,33,0,771,28,Australia
2023,25,0,1761,23,Australia
2023,36,1,1002,17,Australia
2023,32,1,1265,8,Australia
2023,38,0,1932,19,Australia
2023,25,1,738,12,Australia
2023,43,1,1747,17,Australia
2023,34,0,1970,25,Australia
2023,29,0,933,24,Australia
2023,23,0,581,12,Australia
2023,34,1,1683,16,Australia
2023,30,0,1022,17,Australia
2023,26,1,831,28,Australia
2023,31,0,688,28,Australia
2023,29,0,665,10,Australia
2023,33,1,1999,22,Australia
2023,18,0,992,22,Australia
2023,48,0,1498,21,Australia
2023,36,0,1553,11,Australia
2023,55,1,473,10,Australia
2023,19,0,763,27,Australia
2023,52,0,1813,21,Australia
2023,59,1,1598,21,Australia
2023,34,0,968,14,Australia
2023,36,0,910,27,Australia
2023,44,0,1183,20,Australia
2023,30,0,1537,12,Australia
2023,36,1,808,11,Australia
2023,49,0,1873,12,Australia
2023,38,0,1142,17,Australia
2023,35,1,1640,18,Australia
2023,52,0,632,20,Australia
2023,56,0,1448,15,Australia
2023,35,0,1353,7,Australia
2023,46,0,1038,22,Australia
2023,28,1,965,12,Australia
2023,29,1,566,9,Australia
2023,36,0,1875,20,Australia
2023,42,0,1869,25,Australia
2023,35,0,683,16,Australia
2023,42,1,1475,6,Australia
2023,48,0,1922,24,Australia
2023,36,0,2015,12,Australia
2023,50,1,1952,21,Australia
2023,59,0,1410,25,Australia
2023,18,0,1594,21,Australia
2023,52,0,1786,13,Australia
2023,41,0,963,25,Australia
2023,27,1,1213,10,Australia
2023,44,1,694,23,Australia
2023,58,1,1883,11,Australia
2023,22,0,1615,22,Australia
2023,44,0,898,25,Australia
2023,31,0,625,25,Australia
2023,31,0,502,26,Australia
2023,52,1,1951,16,Australia
2023,36,0,1270,11,Australia
2023,32,1,1605,9,Australia
2023,51,0,450,12,Australia
2023,36,0,660,28,Australia
2023,55,0,1639,9,Australia
2023,32,1,1627,27,Australia
2023,42,0,782,19,Australia
2023,33,1,942,15,Australia
2023,50,0,1232,21,Australia
2023,40,1,598,27,Australia
2023,40,0,1746,9,Australia
2023,49,0,566,14,Australia
2023,39,0,1571,28,Australia
2023,33,0,1039,22,Australia
2023,43,0,1024,10,Australia
2023,56,0,1848,15,Australia
2023,59,1,680,14,Australia
2023,29,1,1462,26,Australia
2023,23,0,770,10,Australia
2023,33,1,788,15,Australia
2023,24,0,598,16,Australia
2023,44,0,1315,24,Australia
2023,23,1,718,7,Australia
2023,37,1,1301,12,Australia
2023,19,1,1559,6,Australia
2023,37,0,729,13,Australia
2023,35,0,1862,17,Australia
2023,56,0,760,25,Australia
2023,30,0,502,25,Australia
2023,49,1,861,18,Australia
2023,37,1,1527,21,Australia
2023,40,0,1679,7,Australia
2023,36,0,1987,8,Australia
2023,31,0,907,16,Australia
2023,23,1,975,19,Australia
2023,39,1,1748,25,Australia
2023,27,0,502,22,Australia
2023,52,1,657,18,Australia
2023,43,0,2026,6,Australia
2023,48,0,1032,17,Australia
2023,42,0,989,13,Australia
2023,39,0,864,6,Australia
2023,33,0,1298,17,Australia
2023,40,1,1390,7,Australia
2023,55,0,1924,20,Australia
2023,31,1,1869,20,Australia
2023,44,0,1913,9,Australia
2023,55,0,459,20,Australia
2023,33,0,1234,20,Canada
2023,20,1,1081,27,Canada
2023,59,0,1361,8,Canada
2023,55,0,1276,6,Canada
2023,55,0,620,10,Canada
2023,32,1,857,12,Canada
2023,41,0,1181,10,Canada
2023,30,0,1190,12,Chile
2023,23,1,1328,22,Chile
2023,59,0,560,12,Chile
2023,20,1,2015,26,Chile
2023,47,1,1157,20,Chile
2023,38,0,1459,11,Chile
2023,28,1,843,16,Chile
2023,43,0,472,14,Cook Islands
2023,41,0,470,16,Cook Islands
2023,24,1,1109,14,Cook Islands
2023,29,0,1596,28,Cook Islands
2023,31,1,743,13,Cook Islands
2023,20,1,561,18,Cook Islands
2023,22,0,896,25,Fiji
2023,52,0,608,18,Fiji
2023,56,1,1765,6,Fiji
2023,17,0,795,20,Fiji
2023,38,0,836,25,Fiji
2023,52,0,1291,10,Fiji
2023,28,1,694,27,Fiji
2023,47,1,1697,8,Fiji
2023,56,0,615,19,Fiji
2023,32,1,717,18,Fiji
2023,26,0,782,18,Fiji
2023,34,0,873,18,Fiji
2023,17,0,1212,28,Fiji
2023,54,1,1839,15,Fiji
2023,55,0,1205,22,Fiji
2023,56,0,1486,24,Fiji
2023,55,0,1175,9,French Polynesia
2023,1,1,916,26,French Polynesia
2023,2,0,1035,17,French Polynesia
2023,51,1,1868,7,French Polynesia
2023,22,0,1248,12,French Polynesia
2023,2,1,887,11,French Polynesia
2023,2,1,894,28,Hong Kong
2023,21,0,812,15,Hong Kong
2023,51,0,1693,28,Hong Kong
2023,45,0,1539,27,Hong Kong
2023,27,0,1495,24,Hong Kong
2023,41,0,798,23,Hong Kong
2023,48,1,1790,24,Hong Kong
2023,8,1,590,13,Hong Kong
2023,9,0,560,14,Japan
2023,18,0,1393,21,Japan
2023,19,0,1480,9,Japan
2023,50,1,679,15,Japan
2023,45,0,704,21,Japan
2023,52,0,604,8,Japan
2023,15,1,1226,13,Japan
2023,15,1,1972,7,Malaysia
2023,3,0,1074,7,Malaysia
2023,39,1,1541,14,Malaysia
2023,30,1,469,25,Malaysia
2023,32,1,1350,14,Malaysia
2023,41,0,1891,15,Malaysia
2023,32,0,1457,26,Malaysia
2023,32,1,993,16,New Caledonia
2023,32,1,1429,18,New Caledonia
2023,21,1,666,17,New Caledonia
2023,27,0,1986,16,New Caledonia
2023,32,0,1411,10,New Caledonia
2023,53,1,1729,19,New Caledonia
2023,51,0,548,11,New Caledonia
2023,18,0,1216,13,New Caledonia
2023,57,0,1191,8,Samoa
2023,33,0,510,14,Samoa
2023,33,1,645,12,Samoa
2023,12,0,1898,22,Samoa
2023,26,0,1435,27,Samoa
2023,36,1,1664,10,Samoa
2023,34,0,1981,25,Singapore
2023,57,0,1192,18,Singapore
2023,31,1,481,26,Singapore
2023,49,0,717,11,Singapore
2023,35,0,1486,15,Singapore
2023,17,0,1918,19,Singapore
2023,48,1,1817,13,Singapore
2023,26,0,2004,22,Singapore
2023,15,0,585,24,Singapore
2023,12,1,668,14,Singapore
2023,39,0,463,28,Singapore
2023,11,0,1942,26,Singapore
2023,17,0,1634,24,Singapore
2023,11,0,1379,10,Singapore
2023,25,0,2015,21,Singapore
2023,43,0,1833,25,Singapore
2023,17,1,1788,26,South Korea
2023,38,1,875,8,South Korea
2023,44,0,1594,15,South Korea
2023,45,0,1456,18,South Korea
2023,28,1,1156,12,South Korea
2023,29,1,1094,25,South Korea
2023,25,0,853,26,South Korea
2023,28,0,1936,19,South Korea
2023,33,0,1135,8,United Arab Emirates
2023,26,0,907,24,United Arab Emirates
2023,52,0,787,26,United Arab Emirates
2023,39,0,1680,26,United Arab Emirates
2023,20,1,1704,24,United Arab Emirates
2023,26,0,1560,19,United Arab Emirates
2023,23,0,1190,18,United Arab Emirates
2023,21,0,1190,16,United Arab Emirates
2023,52,0,642,19,United States
2023,35,0,765,7,United States
2023,30,0,659,9,United States
2023,49,1,2016,18,United States
2023,30,0,1754,13,United States
2023,32,0,831,8,United States
2023,57,1,657,25,United States
2023,34,1,857,28,United States
2023,20,0,1679,28,United States
2023,35,1,1548,11,United States
2023,52,1,2019,21,United States
2023,45,0,1995,9,United States
2023,34,0,865,13,United States
2023,32,1,1678,10,United States
2023,39,1,1924,12,United States
2023,58,0,724,20,United States
2023,37,0,723,12,United States
2023,32,0,1712,27,United States
2023,57,0,1333,8,United States
2023,59,1,1289,24,United States
2023,26,0,1436,19,United States
2023,31,1,1154,14,United States
2023,20,1,977,11,United States
2023,32,0,827,21,United States
2023,59,1,1793,17,United States
2023,27,0,921,16,United States
2023,35,0,877,21,United States
2023,29,1,1630,22,United States
2023,22,0,1498,6,United States
2023,53,0,677,12,United States
2023,33,0,538,25,United States
2023,29,1,1476,19,United States
2023,32,0,1663,10,United States
2023,23,1,1875,20,United States
2023,26,0,581,12,United States
2023,28,0,1804,16,United States
2023,28,1,871,14,United States
2023,58,0,1779,11,United States
2023,32,1,1082,9,United States
2023,49,1,1309,27,United States
2023,33,0,1328,25,United States
2023,56,1,1901,15,United States
2023,42,0,1067,12,United States
2023,52,0,1523,17,United States
2023,50,0,1974,26,United States
2023,44,0,1476,12,Australia
2023,47,0,805,10,Australia
2023,21,0,1160,22,Australia
2023,53,1,2007,11,Australia
2023,22,1,714,17,Australia
2023,55,0,1238,28,Australia
2023,17,0,1815,6,Australia
2023,24,1,1281,12,Australia
2023,32,0,1093,24,Australia
2023,35,1,1422,8,Australia
2023,33,1,587,9,Australia
2023,49,1,1605,16,Australia
2023,25,0,1431,18,Australia
2023,48,1,1345,23,Australia
2023,33,0,1694,17,Australia
2023,26,1,1189,15,Australia
2023,50,0,880,15,Australia
2023,21,0,2024,11,Australia
2023,18,1,748,21,Australia
2023,29,0,453,18,Australia
2023,55,1,1911,22,Australia
2023,36,0,1745,16,Australia
2023,36,0,949,18,Australia
2023,49,0,1012,8,Australia
2023,57,0,1268,18,Australia
2023,46,0,1067,12,Australia
2023,29,1,1974,24,Australia
2023,57,0,999,28,Australia
2023,17,1,1900,13,Australia
2023,42,1,948,15,Australia
2023,22,1,539,10,Australia
2023,19,0,1716,19,Australia
2023,48,0,599,22,Australia
2023,32,0,680,18,Australia
2023,36,0,1415,6,Australia
2023,25,0,847,25,Australia
2023,30,0,504,10,Australia
2023,47,0,1619,15,Australia
2023,25,0,1937,13,Australia
2023,22,1,1350,25,Australia
2023,65,0,1773,15,Australia
2023,36,0,705,18,Australia
2023,47,0,1857,27,Australia
2023,2,1,1947,9,Australia
2023,53,0,1438,8,Australia
2023,3,0,1497,7,Australia
2023,57,0,990,12,Australia
2023,42,1,1187,20,Australia
2023,33,0,1801,23,Australia
2023,32,0,872,23,Australia
2023,28,0,1570,24,Australia
2023,57,0,1110,15,Australia
2023,57,1,514,27,Australia
2023,35,0,769,22,Australia
2023,21,0,741,16,Australia
2023,22,0,1962,12,Australia
2023,28,0,2000,25,Australia
2023,46,0,1309,23,Australia
2023,56,0,1908,16,Australia
2023,22,0,682,20,Australia
2023,41,1,1191,20,Australia
2023,26,1,1190,8,Australia
2023,28,0,1616,21,Australia
2023,44,1,464,11,Australia
2023,46,0,1448,10,Australia
2023,40,0,851,20,Australia
2023,63,1,477,17,Australia
2023,33,0,1058,16,Australia
2023,45,0,687,9,Australia
2023,26,1,590,8,Australia
2023,35,0,789,6,Australia
2023,35,0,1347,16,Australia
2023,6,1,1987,10,Australia
2023,50,0,2020,11,Australia
2023,59,0,801,20,Australia
2023,22,1,1065,11,Australia
2023,56,0,1757,8,Australia
2023,37,0,652,22,Australia
2023,20,0,1683,17,Australia
2023,38,0,762,8,Australia
2023,38,0,1711,18,Australia
2023,33,1,1507,27,Australia
2023,17,0,801,27,Australia
2023,51,0,1605,27,Australia
2023,21,1,794,12,Australia
2023,22,1,688,21,Australia
2023,5,0,997,10,Australia
2023,40,0,944,11,Australia
2023,37,0,1255,9,Australia
2023,30,0,1057,20,Australia
2023,35,0,938,17,Australia
2023,42,0,1950,28,Australia
2023,23,0,707,18,Australia
2023,32,1,1553,24,Australia
2023,51,0,1565,21,Australia
2023,28,0,1894,22,Australia
2023,2,0,1218,11,Australia
2023,59,1,1144,26,Australia
2023,37,0,832,20,Australia
2023,33,0,1099,17,Australia
2023,57,0,1375,16,Australia
2023,57,1,1857,6,Australia
2023,52,1,847,14,Australia
2023,57,0,1056,12,Australia
2023,38,1,476,15,Australia
2023,54,1,1976,14,Australia
2023,39,1,516,25,Australia
2023,26,0,1148,15,Australia
2023,36,0,1302,18,Australia
2023,40,0,860,6,Australia
2023,41,1,1788,25,Australia
2023,22,1,548,22,Australia
2023,20,0,758,18,Australia
2023,21,0,925,28,Australia
2023,41,1,1707,18,Australia
2023,45,1,722,9,Australia
2023,50,0,1749,7,Australia
2023,35,0,1871,12,Australia
2023,18,0,1335,28,Australia
2023,26,0,1968,12,Australia
2023,18,1,909,11,Australia
2023,24,1,1460,28,Australia
2023,47,1,1206,12,Australia
2023,36,1,598,24,Australia
2023,64,1,1212,17,Australia
2023,35,1,1201,11,Australia
2023,44,0,1942,16,Australia
2023,36,1,936,8,Australia
2023,21,0,909,22,Australia
2023,3,1,2006,12,Canada
2023,40,0,1369,19,Canada
2023,46,1,1188,16,Canada
2023,50,1,1830,10,Canada
2023,29,0,573,27,Canada
2023,17,1,1579,12,Canada
2023,41,0,1974,8,Canada
2023,55,0,1658,11,Canada
2023,18,0,939,20,Chile
2023,38,1,1592,15,Chile
2023,50,1,1232,13,Chile
2023,54,1,1451,27,Chile
2023,59,0,1946,12,Chile
2023,6,0,820,10,Chile
2023,27,0,1337,16,Chile
2023,28,1,691,21,China
2023,55,1,1902,25,China
2023,58,1,1878,22,China
2023,25,1,1761,8,China
2023,20,1,1893,18,China
2023,42,1,1941,7,Cook Islands
2023,40,1,1567,24,Cook Islands
2023,23,0,1651,20,Cook Islands
2023,23,0,1989,17,Cook Islands
2023,40,1,924,27,Cook Islands
2023,36,0,742,25,Cook Islands
2023,29,1,840,20,Cook Islands
2023,64,1,1494,25,Cook Islands
2023,35,1,1872,17,Fiji
2023,34,1,1596,16,Fiji
2023,52,1,541,22,Fiji
2023,53,1,1818,8,Fiji
2023,52,1,1769,25,Fiji
2023,30,0,496,17,Fiji
2023,29,0,1345,11,Fiji
2023,57,0,1189,20,Fiji
2023,40,1,1065,24,Fiji
2023,49,1,472,20,Fiji
2023,22,1,816,8,Fiji
2023,30,0,1689,28,Fiji
2023,36,1,1437,18,Fiji
2023,28,0,913,27,Fiji
2023,3,0,1022,24,French Polynesia
2023,36,0,810,13,French Polynesia
2023,35,1,1645,9,French Polynesia
2023,42,1,512,8,French Polynesia
2023,32,1,682,7,French Polynesia
2023,33,1,1851,17,French Polynesia
2023,36,0,466,22,French Polynesia
2023,40,0,1791,11,French Polynesia
2023,43,1,1516,22,Hong Kong
2023,38,1,1573,10,Hong Kong
2023,17,0,1395,18,Hong Kong
2023,35,1,1893,13,Hong Kong
2023,41,0,809,8,Hong Kong
2023,53,0,1053,6,Hong Kong
2023,34,0,931,21,Hong Kong
2023,35,0,910,24,Hong Kong
2023,32,0,1676,10,Japan
2023,38,0,1440,6,Japan
2023,30,1,1957,8,Japan
2023,23,0,1442,21,Japan
2023,41,0,912,23,Japan
2023,41,0,650,19,Japan
2023,38,0,795,6,Malaysia
2023,24,1,985,9,Malaysia
2023,25,1,1624,8,Malaysia
2023,22,0,1975,7,Malaysia
2023,52,0,1483,22,Malaysia
2023,42,1,1001,11,Malaysia
2023,25,0,1584,17,Malaysia
2023,18,1,613,7,New Caledonia
2023,42,0,1849,17,New Caledonia
2023,45,1,1892,27,New Caledonia
2023,36,0,1324,9,New Caledonia
2023,20,1,591,11,New Caledonia
2023,21,0,1730,19,Samoa
2023,36,0,1279,6,Samoa
2023,34,0,492,19,Samoa
2023,42,0,1306,11,Samoa
2023,18,0,1965,7,Samoa
2023,51,0,1802,15,Samoa
2023,37,0,1797,6,Samoa
2023,20,0,517,19,Samoa
2023,55,0,1512,20,Singapore
2023,54,0,1913,10,Singapore
2023,21,0,1450,9,Singapore
2023,36,0,1004,14,Singapore
2023,60,0,1129,21,Singapore
2023,17,0,949,21,Singapore
2023,19,0,940,11,Singapore
2023,51,1,562,11,Singapore
2023,26,0,546,25,Singapore
2023,56,0,1488,22,Singapore
2023,50,0,1843,21,Singapore
2023,47,0,1269,24,Singapore
2023,61,0,488,15,Singapore
2023,50,1,1117,22,Singapore
2023,20,1,1668,20,Singapore
2023,56,1,1121,7,South Korea
2023,44,0,602,13,South Korea
2023,59,1,1742,8,South Korea
2023,36,0,1476,27,South Korea
2023,18,1,1319,13,South Korea
2023,55,1,1270,25,South Korea
2023,25,0,505,9,South Korea
2023,50,1,1209,26,Taiwan
2023,36,1,627,19,Taiwan
2023,18,1,466,8,Taiwan
2023,63,1,1045,10,Taiwan
2023,49,0,650,17,Taiwan
2023,28,0,773,15,Taiwan
2023,33,0,814,7,Taiwan
2023,56,0,1775,9,Tonga
2023,35,0,819,9,Tonga
2023,20,0,1506,28,Tonga
2023,35,1,1687,16,Tonga
2023,23,1,1948,28,Tonga
2023,55,1,1799,10,Tonga
2023,40,1,802,12,United Arab Emirates
2023,48,0,1409,15,United Arab Emirates
2023,53,1,625,6,United Arab Emirates
2023,50,0,812,8,United Arab Emirates
2023,56,1,1009,10,United Arab Emirates
2023,62,1,1965,10,United Arab Emirates
2023,36,0,974,15,United Arab Emirates
2023,35,0,1771,16,United States
2023,29,1,1998,15,United States
2023,61,0,509,21,United States
2023,36,0,1664,7,United States
2023,36,1,1279,20,United States
2023,19,1,519,20,United States
2023,52,0,617,27,United States
2023,64,1,1841,12,United States
2023,39,1,1438,17,United States
2023,17,1,923,6,United States
2023,36,0,549,13,United States
2023,41,0,562,28,United States
2023,66,1,619,8,United States
2023,36,0,852,15,United States
2023,19,1,1514,20,United States
2023,64,0,485,6,United States
2023,35,1,970,10,United States
2023,29,0,1516,19,United States
2023,53,0,1020,18,United States
2023,20,0,697,13,United States
2023,59,1,569,25,United States
2023,22,0,695,19,United States
2023,38,0,1287,10,United States
2023,52,0,1649,12,United States
2023,36,0,1941,25,United States
2023,24,0,494,28,United States
2023,43,0,645,17,United States
2023,19,0,1668,16,United States
2023,20,1,600,24,United States
2023,33,0,1557,9,United States
2023,42,1,1983,13,United States
2023,59,1,768,7,United States
2023,18,0,821,17,United States
2023,42,0,1477,23,United States
2023,42,0,1838,16,United States
2023,46,0,1681,8,United States
2023,28,1,1828,20,Australia
2023,27,0,1136,17,Australia
2023,40,1,1440,11,Australia
2023,36,1,1296,11,Australia
2023,36,0,1148,9,Australia
2023,23,0,1521,19,Australia
2023,47,0,1687,9,Australia
2023,28,0,1707,21,Australia
2023,42,1,1641,8,Australia
2023,40,1,647,19,Australia
2023,58,0,1939,27,Australia
2023,26,1,995,19,Australia
2023,27,1,1399,27,Australia
2023,26,0,1615,8,Australia
2023,19,1,800,17,Australia
2023,55,0,1779,7,Australia
2023,32,0,498,19,Australia
2023,32,0,2011,15,Australia
2023,25,1,976,15,Australia
2023,43,1,1838,21,Australia
2023,56,1,1239,13,Australia
2023,55,1,795,8,Australia
2023,42,1,1229,21,Australia
2023,36,0,696,10,Australia
2023,56,0,1044,6,Australia
2023,40,1,799,16,Australia
2023,42,1,1733,22,Australia
2023,54,0,721,12,Australia
2023,46,0,1374,7,Australia
2023,17,0,723,11,Australia
2023,26,1,558,26,Australia
2023,36,1,719,11,Australia
2023,18,0,1555,28,Australia
2023,51,1,1504,11,Australia
2023,42,1,1617,18,Australia
2023,53,1,941,27,Australia
2023,55,1,1257,25,Australia
2023,53,1,1318,11,Australia
2023,52,1,1181,15,Australia
2023,42,0,1406,19,Australia
2023,41,1,1661,17,Australia
2023,20,0,1283,16,Australia
2023,32,0,467,24,Australia
2023,42,1,1688,8,Australia
2023,22,0,540,19,Australia
2023,42,0,1206,15,Australia
2023,42,1,505,10,Australia
2023,42,1,470,19,Australia
2023,42,0,1246,6,Australia
2023,36,0,1629,28,Australia
2023,27,0,1463,13,Australia
2023,42,1,814,13,Australia
2023,36,0,2025,8,Australia
2023,42,0,1136,19,Australia
2023,51,0,1388,17,Australia
2023,55,0,1272,15,Australia
2023,24,0,1064,25,Australia
2023,42,0,1074,13,Australia
2023,36,0,1751,22,Australia
2023,34,0,1093,24,Australia
2023,18,1,1854,16,Australia
2023,38,0,1548,23,Australia
2023,42,1,1426,21,Australia
2023,31,0,1289,14,Australia
2023,32,1,1685,19,Australia
2023,57,0,1925,16,Australia
2023,67,0,916,7,Australia
2023,38,0,1742,28,Australia
2023,30,0,1797,7,Australia
2023,45,0,1942,10,Australia
2023,22,0,1071,9,Australia
2023,56,0,904,21,Australia
2023,24,1,770,17,Australia
2023,36,0,1727,6,Australia
2023,39,0,625,22,Australia
2023,56,0,919,9,Australia
2023,17,0,920,14,Australia
2023,46,0,1431,7,Australia
2023,28,1,1116,21,Australia
2023,50,0,1713,10,Australia
2023,17,0,538,7,Australia
2023,38,1,881,6,Australia
